tempo,tipo
932.618054,CN_RA
932.619255,CN_RA
932.619255,CN_SA
932.620474,CN_MM
0.93262,CN_RA
932.621653,CN_SA
932.622854,CN_MM
0.093262,CN_RA
932.624054,CN_RA
932.624054,CN_SA
932.625253,CN_RA
932.626464,CN_SA
932.627655,CN_MM
0.932627,CN_RA
932.628853,CN_MM
0.932628,CN_RA
932.630054,CN_MM
932.630054,CN_RA
932.630054,CN_SA
932.631254,CN_RA
932.631254,CN_SA
932.632455,CN_RA
932.632455,CN_SA
932.633654,CN_RA
932.634855,CN_SA
932.639654,CN_MM
932.639654,CN_RA
932.643254,CN_MM
0.093264,CN_RA
932.644457,CN_MM
0.932644,CN_RA
932.645654,CN_RA
932.646853,CN_RA
932.651654,CN_MM
932.651654,CN_RA
932.652874,CN_RA
932.655254,CN_RA
932.656454,CN_MM
0.093265,CN_RA
932.657654,CN_RA
932.660055,CN_MM
932.660055,CN_RA
932.661254,CN_RA
932.666055,CN_MM
932.666055,CN_RA
932.667254,CN_RA
932.669653,CN_RA
932.672054,CN_MM
932.672054,CN_RA
932.673255,CN_MM
0.093267,CN_RA
932.675653,CN_MM
932.675653,CN_RA
932.676853,CN_MM
0.093267,CN_RA
932.678054,CN_RA
932.679255,CN_MM
0.093267,CN_RA
0.000932,CN_RA
932.681654,CN_MM
0.093268,CN_RA
932.682869,CN_MM
0.093268,CN_RA
932.684054,CN_RA
932.685253,CN_MM
932.685253,CN_RA
932.686464,CN_RA
932.688481,CN_RA
932.688854,CN_MM
0.093268,CN_RA
932.690055,CN_MM
0.093269,CN_RA
932.691254,CN_MM
0.093269,CN_RA
932.693655,CN_MM
932.693655,CN_RA
932.693655,CN_SA
932.696054,CN_MM
932.696054,CN_RA
932.696054,CN_SA
932.697254,CN_MM
0.093269,CN_RA
932.698465,CN_RA
932.698465,CN_SA
932.700871,CN_MM
0.09327,CN_RA
932.702054,CN_RA
932.702054,CN_SA
932.705653,CN_MM
932.705653,CN_RA
932.705653,CN_SA
932.706854,CN_RA
932.706854,CN_SA
932.708054,CN_RA
932.708054,CN_SA
932.709254,CN_RA
932.709254,CN_SA
932.710464,CN_RA
932.714054,CN_MM
932.714054,CN_RA
932.714054,CN_SA
932.715254,CN_RA
932.715254,CN_SA
932.717653,CN_MM
932.717653,CN_RA
932.718854,CN_RA
932.718854,CN_SA
932.722454,CN_MM
932.722454,CN_RA
932.723654,CN_MM
932.723654,CN_RA
932.724854,CN_RA
932.726054,CN_RA
932.727253,CN_RA
932.729654,CN_MM
932.729654,CN_RA
932.729654,CN_SA
932.730854,CN_MM
0.093273,CN_RA
932.732054,CN_MM
932.732054,CN_RA
932.732054,CN_SA
932.733254,CN_RA
932.733254,CN_SA
932.734455,CN_RA
932.734455,CN_SA
932.735654,CN_RA
932.735654,CN_SA
932.736855,CN_MM
0.093273,CN_RA
932.738054,CN_RA
932.738054,CN_SA
932.739253,CN_MM
0.093273,CN_RA
932.740464,CN_MM
0.093274,CN_RA
932.741655,CN_MM
932.741655,CN_RA
932.741655,CN_SA
932.742853,CN_MM
0.093274,CN_RA
932.744054,CN_RA
932.744054,CN_SA
932.745255,CN_RA
932.745255,CN_SA
932.746465,CN_MM
0.932746,CN_RA
932.747653,CN_RA
932.747653,CN_SA
932.748854,CN_RA
932.750055,CN_RA
932.751255,CN_RA
932.753654,CN_MM
0.093275,CN_RA
932.754854,CN_RA
932.754854,CN_SA
932.757254,CN_RA
932.757254,CN_SA
932.758466,CN_RA
932.759655,CN_MM
0.093275,CN_RA
932.760854,CN_MM
0.093276,CN_RA
932.762054,CN_MM
932.762054,CN_RA
932.763254,CN_MM
0.093276,CN_RA
932.764465,CN_RA
932.765653,CN_RA
932.766854,CN_MM
0.932766,CN_RA
932.768054,CN_RA
932.769253,CN_MM
0.093276,CN_RA
932.770454,CN_MM
0.93277,CN_RA
932.771654,CN_RA
932.771654,CN_SA
932.772854,CN_RA
932.774054,CN_RA
932.774054,CN_SA
932.775255,CN_MM
0.932775,CN_RA
932.778854,CN_MM
932.778854,CN_RA
932.780055,CN_RA
932.781255,CN_RA
932.783654,CN_MM
932.783654,CN_RA
932.784871,CN_RA
932.786054,CN_RA
932.787255,CN_MM
0.093278,CN_RA
932.789655,CN_RA
932.789655,CN_SA
932.790854,CN_RA
932.792055,CN_RA
932.792055,CN_SA
932.794454,CN_MM
0.932794,CN_RA
932.795654,CN_RA
932.796854,CN_RA
932.798054,CN_MM
932.798054,CN_RA
932.799253,CN_RA
932.799253,CN_SA
932.800464,CN_RA
932.800464,CN_SA
932.801654,CN_RA
932.801654,CN_SA
932.802869,CN_RA
932.804054,CN_MM
932.804054,CN_RA
932.804054,CN_SA
932.805254,CN_RA
932.805254,CN_SA
932.807653,CN_MM
0.932807,CN_RA
932.808854,CN_MM
0.09328,CN_RA
932.810054,CN_MM
932.810054,CN_RA
932.810054,CN_SA
932.811254,CN_RA
