t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
0.0471,1782562475.9102,2926.200454,0.0000,0.0000,0.00000,3.2934,3.2992,3.2839,3.2903,3.2871,3.2927,3.2557,3.2839,3.3000,3.2936,3.2976,3.2863,3.2984,3.2984,3.3000,3.2976,3.3000,3.3000,3.3000,3.3000,3.2911,3.3000,3.3000,3.3000,3.2895,3.2895
0.0476,1782562475.9107,2926.201655,0.0000,0.0000,0.00000,3.2915,3.2670,3.2887,3.2919,3.3000,3.2968,3.3000,3.3000,3.3000,3.3000,3.2968,3.3000,3.3000,3.3000,3.2992,3.2919,3.2903,3.2903,3.2863,3.2815,3.2927,3.2565,3.2799,3.2879,3.2944,3.2960
0.0489,1782562475.9120,2926.202855,0.0000,0.0000,0.00000,3.2915,3.2944,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2919,3.2887,3.2734,3.2855,3.2895,3.2855,3.2936,3.2605,3.2839,3.2863,3.2936,3.2976,3.2815,3.2968,3.2936,3.3000,3.2984
0.0505,1782562475.9135,2926.204054,0.0000,0.0000,0.00000,3.2931,3.3000,3.2879,3.2968,3.2879,3.2879,3.2766,3.2839,3.2847,3.2903,3.3000,3.2799,3.2936,3.2936,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2847,3.2879
0.0513,1782562475.9144,2926.205255,0.0000,0.0000,0.00000,3.2926,3.2742,3.2952,3.2919,3.3000,3.3000,3.2807,3.2936,3.2960,3.3000,3.2992,3.3000,3.3000,3.3000,3.3000,3.2944,3.3000,3.2984,3.2960,3.2823,3.2960,3.2678,3.2831,3.2839,3.2855,3.2976
0.0523,1782562475.9154,2926.206455,0.0000,0.0000,0.00000,3.2920,3.2927,3.3000,3.2992,3.3000,3.2968,3.3000,3.2968,3.2992,3.2839,3.2895,3.2887,3.2855,3.2903,3.2839,3.2952,3.2549,3.2855,3.2871,3.2919,3.2992,3.2847,3.2992,3.2984,3.3000,3.2968
0.0536,1782562475.9166,2926.207654,0.0000,0.0000,0.00000,3.2923,3.3000,3.2879,3.2919,3.2815,3.2944,3.2702,3.2807,3.2879,3.2863,3.2944,3.2726,3.2871,3.2927,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2968,3.3000,3.3000,3.3000,3.2936,3.2903
0.0550,1782562475.9180,2926.208855,0.0000,0.0000,0.00000,3.2907,3.2533,3.2807,3.2871,3.2952,3.2968,3.2863,3.2976,3.2960,3.3000,3.2984,3.3000,3.3000,3.3000,3.2992,3.2911,3.3000,3.2984,3.2927,3.2807,3.2903,3.2766,3.2855,3.2871,3.2815,3.2944
0.0561,1782562475.9192,2926.210055,0.0000,0.0000,0.00000,3.2917,3.2863,3.2968,3.2968,3.3000,3.2984,3.3000,3.3000,3.3000,3.2968,3.2919,3.2968,3.2839,3.2903,3.2863,3.2919,3.2589,3.2823,3.2895,3.2863,3.2919,3.2766,3.2960,3.2952,3.3000,3.3000
0.0573,1782562475.9204,2926.211254,0.0000,0.0000,0.00000,3.2946,3.3000,3.2936,3.3000,3.2815,3.2903,3.2976,3.2807,3.2919,3.2831,3.2927,3.2782,3.2927,3.2927,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2992,3.2903
