t_rel_s,t_unix,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v10,v11,v12,v13,v20,v21,v22,v23,v30,v31,v32,v33
0.8377,1782154917.6572,0.0000,0.0000,0.00000,0.0000,3.2790,3.2662,3.2742,3.2653,3.2186,3.2468,3.2742,3.2589,3.3000,3.2790,3.2774,3.2670,3.3000,3.2766,3.2750,3.2694
0.8579,1782154917.6773,0.0000,0.0000,0.00000,0.0000,3.2919,3.2766,3.2750,3.2662,3.2186,3.2500,3.2702,3.2629,3.2976,3.2678,3.2726,3.2742,3.2613,3.2686,3.2758,3.2742
0.8789,1782154917.6983,0.0000,0.0000,0.00000,0.0000,3.2919,3.2766,3.2750,3.2662,3.2186,3.2500,3.2702,3.2629,3.2976,3.2678,3.2726,3.2742,3.2613,3.2686,3.2758,3.2742
0.8994,1782154917.7188,0.0000,0.0000,0.00000,0.0000,3.2919,3.2766,3.2750,3.2662,3.2186,3.2500,3.2702,3.2629,3.2976,3.2678,3.2726,3.2742,3.2613,3.2686,3.2758,3.2742
0.9201,1782154917.7395,0.0000,0.0000,0.00000,0.0000,3.2919,3.2766,3.2750,3.2662,3.2186,3.2500,3.2702,3.2629,3.2976,3.2678,3.2726,3.2742,3.2613,3.2686,3.2758,3.2742
0.9402,1782154917.7597,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2726,3.2670,3.2347,3.2460,3.2710,3.2605,3.2758,3.2815,3.2758,3.2694,3.3000,3.2686,3.2758,3.2742
0.9605,1782154917.7800,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2726,3.2670,3.2347,3.2460,3.2710,3.2605,3.2758,3.2815,3.2758,3.2694,3.3000,3.2758,3.2742,3.2686
0.9808,1782154917.8003,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2726,3.2670,3.2347,3.2460,3.2710,3.2605,3.2758,3.2815,3.2758,3.2694,3.3000,3.2758,3.2742,3.2686
1.0011,1782154917.8205,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2726,3.2670,3.2347,3.2460,3.2710,3.2605,3.2758,3.2815,3.2758,3.2694,3.3000,3.2758,3.2742,3.2686
1.0220,1782154917.8414,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2726,3.2670,3.2347,3.2460,3.2710,3.2605,3.2758,3.2815,3.2758,3.2694,3.3000,3.2758,3.2742,3.2686
